"Ayat_id","mm_Translation","multi_ayats"
1,"နေနှင့် နေ၏ ထွန်းတောက်မှုကို 2014 သက်သေထူ၏။",""
2,"နေ၏ အလင်းရောင်နောက်သို့ လိုက်သော လကို သက်သေထူ၏။ (တစ်နည်း) လကို သက်သေထူ၏။ အကြင်အခါဝယ် ၎င်းသည် နေ၏ ထွန်းတောက်မှုနောက်သို့ လိုက်၍ အလင်းကို ဆောင်ယူ၏။ 2015",""
3,"နေကို ထွန်းလင်း ထင်ရှားစေသော နေ့ကို သက်သေထူ၏။ (တစ်နည်း) နေ့ကို သက်သေထူ၏။ အကြင်အခါဝယ် ထိုနေ့သည် နေကို ထွန်းလင်း ထင်ရှားစေ၏။",""
4,"နေကို ဖုံးလွှမ်းစေသော ညကို သက်သေထူ၏။ (တစ်နည်း) ညကို သက်သေထူ၏။ အကြင်အခါဝယ် ထိုညသည် နေကို ဖုံးလွှမ်း၏။",""
5,"ကောင်းကင်ယံနှင့် ထိုကောင်းကင်ယံကို တည်ဆောက်ခြင်းအား သက်သေထူ၏။ (တစ်နည်း) ကောင်းကင်ယံနှင့် ထိုကောင်းကင်ယံကို တည်ဆောက်သောအရှင့်အား သက်သေထူ၏။",""
6,"ကမ္ဘာဂြိုဟ်နှင့် ကမ္ဘာဂြိုဟ်ကို ဖြန့်ကြက်ခြင်းအား သက်သေထူ၏။ (တစ်နည်း) ကမ္ဘာဂြိုဟ်နှင့် ကမ္ဘာ ဂြိုဟ်ကို ဖြန့်ကြက်သောအရှင့်အား သက်သေထူ၏။",""
7,"လူ့ကိုယ်ရည်ကိုယ်သွေးနှင့် ထိုကိုယ်ရည်ကိုယ်သွေးကို ဟန်ချက်မျှစွာ၊ (တစ်နည်း) သင့်တင့် လျောက် ပတ်စွာ ဖြစ်တည်မှုတို့ကို သက်သေထူ၏။ (တစ်နည်း) လူ့ကိုယ်ရည်ကိုယ်သွေးနှင့် ထိုကိုယ်ရည်ကိုယ် သွေးကို ဟန်ချက်မျှစွာ ဖြစ်တည်စေသောအရှင့်အား သက်သေထူ၏။",""
8,"ထို့နောက် ထို (ကိုယ်ရည်ကိုယ်သွေး) ၌ ထွင်းဖောက်မှုနှင့် 2016 အခိုင်အမာ ထိန်းသိမ်းမှု စွမ်းရည်တို့ကို ထည့်သွင်း စီမံခဲ့၏။",""
9,"မိမိ၏ ကိုယ်ရည်ကိုယ်သွေးကို ဖွံ့ဖြိုးစေရန် ဆောင်ရွက်သောသူသည် အမှန်ပင် အောင်မြင်ခဲ့ပြီး ဖြစ် ၏။",""
10,"သို့သော် မိမိ၏ ကိုယ်ရည်ကိုယ်သွေးကို ဖွံ့ဖြိုးမှုမဲ့စေရန် ဖုံးဖိသောသူသည် မုချပင် ဆုံးရှုံးခဲ့ပြီး ဖြစ်၏။",""
11,"ဆမူးဒ် (မျိုးတူစု) သည် သူတို့၏ ဆိုးသွမ်းမှုကြောင့် (အရှင့်ဥပဒေကို) မဟုတ်မမှန်ဟု စွပ်စွဲခဲ့ကြ၏။",""
12,"တချိန်တွင် သူတို့မှ အယုတ်မာဆုံးသောသူသည် ခေါင်းဆောင်အဖြစ် ရှေ့သို့ ထွက်လာခဲ့၏။# (တစ်နည်း) တချိန်တွင် သူတို့မှ အခက်ထန်ဆုံးသောသူသည် ဦးဆောင်ရန် ရှေ့သို့ ထွက်လာခဲ့၏။",""
13,"သို့ဖြစ်ရာ သူတို့အား အလ္လာဟ်၏ ရစူလ်က “အလ္လာဟ်၏ ကုလားအုတ်မကို* ရေသောက်နိုင်ရန် လွှတ် ထားပါ” ဟု ပြောဆိုခဲ့၏။@* [(نَاقَةٌ) ‘နာကွော့ဟ်’ “ကုလားအုတ်မ” နှင့်ပတ်သက်၍ [7:73] အောက်ခြေ (၆၉၀) တွင် လေ့လာပါရန်]",""
14,"သို့သော် သူတို့သည် သူ့အား မဟုတ်မမှန်ဟု စွပ်စွဲခဲ့ကြပြီး၊ ကုလားအုတ်မ (၏ တံကောက်ကြော) ကို ဖြတ်တောက်လိုက်ကြသည်။* သို့ဖြစ်ရာ သူတို့အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေသောအရှင် က သူတို့၏ ကျူးလွန်မှုကြောင့် (တုံ့ပြန်ရလဒ်နှင့်အညီ) အရေးယူ ဒဏ်ခတ်မှုကို စီရင်ခဲ့၏။ ထိုအရေး ယူ ဒဏ်ခတ်မှုကို အားလုံးအပေါ် တစ်ပြေးညီညီ သက်ရောက်စေခဲ့၏။ (တစ်နည်း) ထိုအရေးယူ ဒဏ် ခတ်မှုအားဖြင့် မြေကြီးနှင့် တစ်သားတည်း ဖြစ်သွားစေခဲ့၏။@* [ဤအကြောင်းအရာနှင့်ပတ်သက်၍၊ [7:77] အောက်ခြေ (၆၉၁) နှင့် [26:157] တို့တွင် လေ့လာပါရန်]",""
15,"စင်စစ် အရှင် (၏ ပြဋ္ဌာန်းချက်) သည် ထိုတုံ့ပြန်မှုနှင့် ပတ်သက်၍ တွန့်ဆုတ်နေသည် မဟုတ်ပေ။",""
