"Ayat_id","mm_Translation","multi_ayats"
1,"စနစ်တကျ တန်းစီနေသူတို့အား 1487 သက်သေထူ၏။",""
2,"ထို့နောက် (နှောင့်ယှက် ဖျက်ဆီးသောသူတို့ကို) ငေါက်ငမ်း မောင်းထုတ်သောသူတို့အား 1488 သက် သေထူ၏။ (တစ်နည်း) နှောင့်ယှက် ဖျက်ဆီးသောသူတို့ကို ပိတ်ပင် တားဆီးသောသူတို့အား သက်သေထူ၏။",""
3,"တစ်ဖန် ဆုံးမစာကို ဖတ်ကြား၊ လိုက်နာကြသောသူတို့အား 1489 သက်သေထူ၏။",""
4,"ဧကန်အမှန် သင်တို့၏ အားထားခိုလှုံရာ (တစ်နည်း) လွှမ်းမိုး အုပ်ချုပ်သောအရှင်သည် တစ်ဆူတည်းသာ ဖြစ်၏။ 1490",""
5,"အရှင်သည် စကြဝဠာများ၊ ကမ္ဘာဂြိုဟ်တို့နှင့် ယင်းနှစ်ခုအကြား ရှိသမျှတို့အပြင် နေထွက်ရာဌာနတို့ ကို (တစ်နည်း) အရှေ့တိုင်းတို့ကို 1491 ပျိုးထောင်မှုစနစ်နှင့်အညီ ဖွံ့ဖြိုးစေသောအရှင်လည်း ဖြစ်၏။",""
6,"ငါသည် (သင် မြင်တွေ့နေရသော) ကမ္ဘာဂြိုဟ်နှင့် (အနီးဆုံး) အာကာသကို ဂြိုဟ်နက္ခတ်တည်းဟူ သော အဆင်အယင် များဖြင့် တန်ဆာဆင်ထား၏။*@* [ဤအာယဟ်နှင့် ပတ်သက်၍ [15:16] အောက်ခြေ (၁၀၃၂) နှင့် တွဲဖက်လေ့လာပါရန်]",""
7,"၎င်းပြင် သောင်းကျန်း ဆိုးသွမ်းသော ရှိုက်သာန် (အပျက်စွမ်းအား) အသီးသီးမှ (တစ်နည်း) (အဖျက် သမား) အသီးသီးမှလည်း ကာကွယ်ထား၏။*@* [ဤအာယဟ်နှင့် ပတ်သက်၍ [15:17] အောက်ခြေ (၁၀၃၃) နှင့် တွဲဖက်လေ့လာပါ ရန်]",""
8,"ယင်း (ဆိုးသွမ်းသော အဖျက်သမားတို့) မှာ အမြင့်မြတ်ဆုံးသော အစုအဝေးမှ အစီအမံများကို 1492 ကြားနာနိုင်ကြသည် မဟုတ်ပေ။ ထို့ပြင် သူတို့သည် အဖက်ဖက်မှ ဝေးကွာစေခြင်း (တစ်နည်း) တားဆီးခြင်းကို ခံကြရ၏။ အနားသို့ ကပ်နိုင်ကြသည် မဟုတ်ပေ။ သူတို့အဖို့ တည်တံ့မြဲမြံသော အရေးယူ ဒဏ်ခတ်မှုသည် ရှိ၏။","8-9"
10,"သို့ရာတွင် ရုတ်တရက် (စကားစ တစ်ခုကို) သုတ်ယူ၍ လှည့်စားရန် ကြံစည်သောသူ၏ နောက်သို့ ထွင်းဖောက်နိုင်စွမ်းသော မီးတောက်တစ်ခုသည် နောက်မှ ထက်ကြပ်မကွာ လိုက်လာတော့၏။ 1493",""
11,"သို့ဖြစ်ရာ “သူတို့အား ဖြစ်ထွန်းစေခြင်းက ပို၍ ခက်ခဲသလော။ (တစ်နည်း) ပို၍ ခိုင်ခံ့သလော။ သို့ မဟုတ် ငါ ဖြစ်ထွန်းစေ ခဲ့သည်များက 1494 ပို၍ ခက်ခဲသလော။ (တစ်နည်း) ပိုမို ခိုင်ခံ့သလော” ဟု သင် မေးမြန်းလော့။ ဧကန်ပင် ငါသည် သူတို့အား စေးထန်းသော မြေဆီမြေနှစ်မှ (တစ်နည်း) ရွှံ့မြေမှ (တစ်နည်း) သက်မဲ့မှ ဖြစ်ထွန်းစေခဲ့၏။*@* [32:7]",""
