"Ayat_id","mm_Translation","multi_ayats"
1,"ကောင်းကင်ယံနှင့် 1981 အမှောင်ခွင်း၍ အလင်းဆောင်သူကို သက်သေထူ၏။ သင့်ဘဝ အတွေ့အကြုံ အရ အမှောင်ခွင်း၍ အလင်းဆောင်သူသည် အဘယ်နည်းဆိုသည်ကို သိပါသလော။ ၎င်းသည် ထွင်း ဖောက်နိုင်သော လမ်းပြကြယ်ပင် ဖြစ်၏။ 1982","1-3"
4,"နဖှ်စ် (လူ့အရည်အသွေး) အသီးသီးတို့တွင် သူ့အား စောင့်ကြပ်သူတစ်ဦး ရှိ၏။ 1983",""
5,"လူသားသည် သူ၏ ဖြစ်ထွန်းလာမှုနှင့် စပ်လျဉ်း၍ သုံးသပ် ဆင်ခြင်အပ်ပေသည်။ (တစ်နည်း) လူသည် မည်သည့်အရာမှ ဖြစ်ထွန်းလာသနည်းဆိုသည်ကို ကြည့်ရှု လေ့လာသင့်၏။",""
6,"သူသည် ပန်းထွက်သော အရည်မှ ဖြစ်ထွန်းလာ၏။",""
7,"၎င်းသည် ယောကျ်ား၏ လိင်မှုဆိုင်ရာ ဧရိယာနှင့် မိန်းမ၏ လိင်မှုဆိုင်ရာ ဧရိယာတို့ ပေါင်းစုံရာမှ ထွက်ခြင်း ဖြစ်သည်။ 1984",""
8,"ဧကန်အမှန် အရှင်သည် သူ့အား (ရလဒ်ဖြစ်ပေါ်မှုဆီသို့) ပြန်လှည့်လာရန် စွမ်းဆောင်နိုင်၏။",""
9,"လျှို့ဝှက်ချက်များ ပုံပေါ်လာသော ထိုကာလတွင် သူ့၌ မိမိကိုယ်တိုင် ခုခံကာကွယ်နိုင်စွမ်းလည်း ရှိ မည် မဟုတ်။ သူ့အား ကူညီစောင်မမည့်သူဟူ၍လည်း ရှိမည် မဟုတ်ပေ။","9-10"
11,"စကြဝဠာ၏ တုံ့ပြန်မှု ဥပဒေသအရ အသစ်အသစ် ပုံပေါ်လာမှုကို သက်သေထူ၏။ (ဝါ) အုပ်ချုပ်မှု အသစ်များ သက်ဝင်လာမှုကို သက်သေထူ၏။",""
12,"(သီးနှံ ပေါက်ရောက်ရန်) အက်ကွဲသွားသော ပထဝီမြေကို သက်သေထူ၏။ (ဝါ) မျိုးဆက်သစ်များ ဖွံ့ဖြိုးစေရန် ဖွင့်ပေးသော အောက်ခြေလူတန်းစားကို သက်သေထူ၏။ 1985",""
13,"ဧကန်အမှန် ဤ (ကုရ်အာန်သည်) တည်ကြည်ပြတ်သားသော အဆုံးအဖြတ် ဖြစ်၍၊ ကရော်ကမည်၊ ကပြက်ကချော်စကား မဟုတ်ပေ။","13-14"
15,"ဧကန်အမှန် သူတို့သည် ကြံစည်မှုအမျိုးမျိုးကို ကြံစည်နေကြ၏။ ငါသည်လည်း (သူတို့၏ အကြံ အစည်ကို ပျက်ပြားစေရန် တုံ့ပြန်ရလဒ်အားဖြင့်) ကြံစည်၏။* (တစ်နည်း) ငါ (၏ တုံ့ပြန်ရလဒ်) သည် လည်း လျှို့ဝှက်စွာ စီမံလျက် ရှိ၏။@*[[3:54] အောက်ခြေ (၃၉၅)]","15-16"
17,"သို့ဖြစ်ရာ သင်သည် လုံခြုံမှုကို သွေဖည်ဆန့်ကျင်သောသူတို့အား ရွှေ့ဆိုင်းထား၍၊ အချိန်အနည်းငယ် ဆွဲထားလော့။",""
