"Ayat_id","mm_Translation","multi_ayats"
1,"အံ့မခန်းဖွယ် စီမံမှုသည် အလ္လာဟ်၏ ပိုင်ဆိုင်မှု၌ ရှိ၏။ အရှင်သည် မိမိ၏ ဩဇာခံ အပေါ်သို့ ဥပဒေကျမ်းကို ထုတ်ပြန်ခဲ့၏။ ထို့ပြင် အရှင်သည် ထို (ဥပဒေကျမ်း) ၌ ကွေ့ကောက်မှု 1119 တစ်စုံတစ်ရာ ကိုမျှ စီမံထားခြင်း မရှိချေ။",""
2,"ဖြောင့်မတ် တည်ကြည်၍၊ တည်တံ့ မြဲမြံသော (ပြဋ္ဌာန်းချက် များပါရှိ) ၏။ 1120 အရှင့် (တုံ့ပြန်ရလဒ် ပြဋ္ဌာန်းချက် အရ ပုံပေါ် လာမည့်) ပြင်းထန်သော ဒဏ်ခတ်မှုနှင့် စပ်လျဉ်း၍ သတိပေး နှိုးဆော်ရန်နှင့် လုံခြုံမှုကို ယုံကြည်ချက်ဖြင့် တည်ဆောက် ကြလျက်၊ ပြုပြင် ပြောင်းလဲမှုကို ဆောင်ရွက် ကြသောသူ တို့အဖို့ ကောင်းမြတ်သော အကျိုးဆက် ရှိကြောင်း သတင်းကောင်း ပေးရန်ဖြစ်၏။",""
3,"သူတို့သည် ယင်း (ကောင်းမြတ်သော အကျိုးဆက်တည်ရာ) ၌ ကာလမဲ့ နေထိုင် ကြရပေမည်။",""
4,"ထို (ဥပဒေကျမ်း) သည် အလ္လာဟ်က သားတစ်ယောက် ဖန်တီးထားသည်ဟု ပြောဆို ကြသော သူတို့အား သတိပေး နှိုးဆော်ရန် လည်းဖြစ်၏။*@* [17:111]",""
5,"ထို (စွပ်စွဲမှုများ) အတွက် သူတို့နှင့် သူတို့၏ အဘ၊ ဘိုး၊ ဘေးတို့၌ အသိပညာ၊ သက်သေ အထောက် အထား တစ်စုံတစ်ရာ မျှပင် မရှိချေ။ သူတို့၏ နှုတ်များမှ ထွက်သော စကားသည် ကြီးလေးလှ၏။ စင်စစ် သူတို့သည် အလိမ်အညာ စကားများ ကိုသာ ပြောဆို နေကြခြင်း ဖြစ်သည်။",""
6,"သို့ဖြစ်ရာ အကယ်၍ သူတို့ ဤဟဒီးစ် (ကုရ်အာန်) (ဝါ) သတင်းစကား ဆင့်ပြန်မှုကို မယုံကြည် ကြလျှင် သူတို့၏ (လွဲမှားသော ကျင့်ကြံ မှုများမှ) ထင်ကျန်ရစ် သော ဆိုးကျိုး များကြောင့် သင်သည် ပူဆွေးကာ စိတ်ထောင်း ကိုယ်ကြေ ဖြစ်ဟန်ရှိ၏။ 1121a",""
7,"ဧကန်စင်စစ် ငါသည် လူတို့အနက် မည်သူသည် ဆောင်ရွက်ချက် အားဖြင့် ဟန်ချက် အညီဆုံး ဖြစ်သည် ဆိုသည်ကို ပေါ်လွင် ထင်ရှားဖို့ရန် ကမ္ဘာဂြိုဟ်၌ ရှိသော အရာများကို ခမ်းနား သိုက်မြိုက်စွာ စီမံ ထား၏။@[ဆက်စပ်အာယဟ်များ၊ [18:30-31] [18:46] [67:2]]",""
8,"ဧကန်စင်စစ် ငါ (၏ တုံ့ပြန်ရလဒ်) သည် (ခမ်းနား သိုက်မြိုက်စွာ စီမံထားမှု အပေါ် တန်ဖိုး မထားသော သူတို့၏ ဖျက်ဆီး မှုကြောင့်) ယင်း (မြေကမ္ဘာ) ၌ ရှိသည့် မြေဆီလွှာကို အမှန်ပင် သွေ့ခြောက်လျက် လွင်တီးခေါင် ဖြစ်စေခဲ့၏။",""
9,"သင်သည် လိုဏ်ဂူတွင် နေထိုင်ကြသော ရကီးမ် (ဒေသ) ရှိ ပုဂ္ဂိုလ် တို့သည် ငါ၏ အံ့ဖွယ် သက်သေ လက္ခဏာဟု ထင်မြင်ပါ သလော။ 1121b",""
10,"လူငယ်အချို့သည် လိုဏ်ဂူအတွင်းသို့ သွားရောက် ခိုလှုံကြစဉ်၊ “အို- ကျွန်ုပ်တို့အား ပျိုးထောင်မှု စနစ်နှင့်အညီ ဖွံ့ဖြိုး စေသော အရှင်၊ အရှင်သည် ကျွန်ုပ်တို့အား လုံခြုံမှု ပါဝင်သော ထောက်ပံ့ မြှင့်တင်မှုကို ချီးမြှင့်တော်မူပါ။ ထို့ပြင် ကျွန်ုပ်တို့၏ အရေးကိစ္စ၌ ဖြောင့်မတ်မှုကို ပြုပေးတော်မူပါ” ဟု လျှောက်ထား ကြ၏။ 1122",""
