"Ayat_id","mm_Translation","multi_ayats"
1,"ဆွောဒ်၊ 1522 (ကုရ်အာန်သည်) ဖြောင့်မတ်မှန်ကန်သော # (တစ်နည်း) (၎င်းထက် အလျင် ပို့ချပြီး ဖြစ်သော ကျမ်းများကို) ဖြောင့်မတ် မှန်ကန်စေသော # (တစ်နည်း) (ပကတိ မပျက်စီးသေးသော ဥပဒေများနှင့် သမိုင်း အချက်အလက် များကို) အတည်ပြုသော (ကျမ်းဖြစ်၏)။# (ငါသည်) အဆုံးအမနှင့် ပြည့်စုံသော # (တစ်နည်း) ကျော်စောသော # (တစ်နည်း) လူ့ ဂုဏ်သိက္ခာကို စောင့်ထိန်းစေသော # (တစ်နည်း) အသိနှင့် သတိကို ပေါက်ဖွားစေသော # (တစ်နည်း) အတိတ် သမိုင်းကြောင်း ၏ သင်ခန်းစာများ ပါရှိသော ကုရ်အာန်ကို သက်သေထူ၏။",""
2,"အမှန်မှာ လုံခြုံမှုကို သွေဖည်ဆန့်ကျင်သောသူတို့သည် ဂုဏ်သိက္ခာ (တစ်နည်း) စွမ်းအား ကြီးမားမှုနှင့် ဆန့်ကျင် ဖီလာပြုမှု (တစ်နည်း) ရန်လိုမှု၌ (နစ်မွန်း) နေကြ၏။ 1523",""
3,"ငါသည် (မိမိ၏ တုံ့ပြန်ရလဒ်အရ) သူတို့မတိုင်မီက များစွာသော မျိုးဆက်တို့ကို တိမ်ကောစေခဲ့၏။ ထိုမျိုးဆက်တို့သည် ထွက်ပြေးတိမ်းရှောင်၍ ခိုလှုံရာ ရှာရမည့် အချိန် ကုန်လွန်သော အခါမှသာ (အကူ အညီရရှိရန် ငါ့အား) ရေရွတ်တမ်းတခဲ့ကြ၏။ (သို့သော် ထိုအချိန်သည် ထွက်ပြေးတိမ်းရှောင်၍ ခိုလှုံ ရာရှာရမည့်အချိန် မဟုတ်တော့ပြီ)။",""
4,"စင်စစ် သူတို့သည် မိမိတို့အနက်မှ သတိပေးနှိုးဆော်သူတစ်ဦး ရောက်လာသည်ကို အံ့ဩခဲ့ကြ၏။ ၎င်းပြင် လုံခြုံမှုကို သွေဖည် ဆန့်ကျင်ခဲ့ကြသောသူတို့က “ဤသူသည် လွန်စွာ မုသားပြောဆိုသော လှည့်စားသူ ဖြစ်၏”-",""
5,"“များစွာသော အားထားခိုလှုံရာများအစား တစ်ပါးတည်းသော အားထားခိုလှုံရာကို စီမံသလော။ အမှန်စင်စစ် ဤသည် လွန်စွာ အံ့ဖွယ်ရာ ကိစ္စပင် ဖြစ်သည်” ဟု ဆိုကြ၏။",""
6,"ထို့ပြင် သူတို့မှ အကြီးအကဲများက “သွားကြစို့၊ သင်တို့သည် မိမိတို့၏ အားထားခိုလှုံရာ (ဘုရား) များအပေါ် ကြံ့ခိုင်စွာ ရှိကြလော့။ ဧကန်အမှန် ဤသည် ရည်ရွယ်ထားသော ကိစ္စတစ်ခုပင် ဖြစ်၏”- 1524",""
7,"“ကျွန်ုပ်တို့သည် အခြားသော လမ်းစဉ်၌ ဤမည်သော ‌ဟောပြောမှုကို မကြားဖူးကြချေ။ ဤသည် လီဆယ် ဖန်တီးမှုမှတစ်ပါး အခြားမဟုတ်ပြီ”-",""
8,"“ကျွန်ုပ်တို့အနက် သူ့အပေါ်၌သာ အဆုံးအမ (ဥပဒေကျမ်း) သည် ချမှတ်ခံခဲ့ရသလော” ဟု ပြောဆို ထွက်ခွာသွားကြ၏။ အမှန်စင်စစ် သူတို့သည် ငါ၏ အဆုံးအမ (ဥပဒေကျမ်း) နှင့် စပ်လျဉ်း၍ သံသယ၌ ရှိနေကြသည်။ အမှန်စင်စစ် သူတို့သည် ငါ၏ အရေးယူ ဒဏ်ခတ်မှုကို မခံစားကြရသေးပေ။",""
9,"သူတို့ထံတွင် နိုင်နင်းလွှမ်းမိုး၍၊ ရက်ရောစွာ ချီးမြှင့်သော၊ သင့်အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုး စေသည့်အရှင်၏ လုံခြုံမှုပါဝင်သော ထောက်ပံ့မြှင့်တင်မှု၏ ဘဏ္ဍာများ ရှိနေသလော။",""
10,"သို့မဟုတ် သူတို့တွင် စကြဝဠာများနှင့် ကမ္ဘာဂြိုဟ်အပါအဝင် ယင်းနှစ်ခုအကြား ရှိသမျှတို့ကို စိုးမိုး အုပ်ချုပ်မှုအာဏာသည် ရှိနေ၍လော။ သို့ရှိခဲ့လျှင် နည်းလမ်းအလုံးစုံတို့ဖြင့် တက်လှမ်းကြလော့။",""
