"Ayat_id","mm_Translation","multi_ayats"
1,"ဖြစ်ထွန်းမှုစနစ်ကို ပျံ့နှံ့စေသူများ- (တစ်နည်း) သတင်းစကားကို ဖြန့်ချိသူများ-",""
2,"တစ်ဖန် အလ္လာဟ်ပြဋ္ဌာန်းသည့်စနစ် ပုံပေါ်လာရန် တာဝန်ယူ ထမ်းဆောင်သူများ-",""
3,"တစ်ဖန်ညင်သာစွာ ရှေ့သို့ ယူဆောင်သွားသူများ- (တစ်နည်း) စီးဆင်းသွားစေသူများ-",""
4,"အလ္လာဟ်၏ အစီအမံကို လူ့ဘောင်သို့ မျှဝေပေးသူများ အစရှိသူတို့အား သက်သေထူပါ၏။ 1658",""
5,"ဧကန်စင်စစ် သင်တို့ ကတိပြုခြင်းခံရသော ကိစ္စသည် အမှန်ပင် ပုံပေါ်လာပေမည်။ ထို့ပြင် အစားပေး မှု (တစ်နည်း) ရလဒ်တုံ့ပြန်မှုသည် မုချ ဆိုက်ရောက်လာပေမည်။","5-6"
7,"(သင်တို့ ဆင်ခြင် သုံးသပ်နိုင်ရန်) ဂြိုဟ်ပတ် လမ်းကြောင်း အသီးသီးရှိသော အာကာသကို* သက်သေ ထူ၏။*[23:17]",""
8,"ဧကန်အမှန် သင်တို့သည် ကွဲပြားခြားနားသော ဆုံးဖြတ်ချက် (တစ်နည်း) အကွဲကွဲအပြားပြားဖြစ်သော ပြောဆိုမှု၌ ရှိနေကြ၏။",""
9,"ထို (အလ္လာဟ်ပြဋ္ဌာန်းသော စနစ်) မှ သွေဖည်သောသူ သာလျှင် (ကောင်းကျိုးများကို) သွေဖည်သူဖြစ် ၏။",""
10,"ရမ်းဆ ပြောဆိုသူတို့သည် ပျက်စီးကြရပြီ။ (တစ်နည်း) (လူနေမှုစနစ်နှင့် ပတ်သက်၍) ထင်မြင်ယူဆ ချက်များကို အတည်ယူသောသူတို့သည် တော်လှန်ခြင်းကို ခံကြရပြီ။",""
11,"သူတို့သည်ကား မသိမိုက်မဲမှု၌ သတိလက်လွတ် ရှိနေကြ၏။ (တစ်နည်း) အသိဉာဏ်မဲ့မှု၌ ပေါ့ပေါ့ ဆဆ ရှိနေကြ၏။",""
12,"“သူတို့သည် (အလ္လာဟ်ပြဋ္ဌာန်းသော စနစ်အားဖြင့်) ရလဒ်ပုံပေါ်လာသော ကာလသည်* မည်သည့် အခါနည်း” ဟု မေးမြန်းကြ၏။* [1:3]",""
13,"ထိုကာလတွင် သူတို့သည် အပူမီး၌ ပျက်စီးရာပျက်စီးကြောင်းကို ကြုံကြရပေမည်။",""
14,"သင်တို့သည် သင်တို့၏ နှောင့်ယှက်ဖျက်ဆီးမှု (မှ ဖြစ်ပေါ်သော ဆိုးကျိုး) ကို ခံစားကြည့်ကြလော့။ ဤ သည် သင်တို့ အလျင်စလို တောင်းဆိုခဲ့ကြသောအရာပင် ဖြစ်၏။",""
15,"ဧကန်အမှန် (အလ္လာ့ဟ် လမ်းညွှန်မှု နှင့်အညီ ကိုယ်ရည်ကိုယ်သွေးများကို) ထိန်းသိမ်းသောသူတို့သည် ဂျန္နားသ် (ဥယျာဉ်များ) နှင့် စိမ့်စမ်းများ၌ ရှိကြပေမည်။",""
16,"မိမိတို့အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေသောအရှင်၏ ချီးမြှင့်မှုကို ခံယူလျက် ရှိကြပေမည်။ ဧကန်အမှန် သူတို့သည် ဤကာလ မတိုင်မီက ဘဝကို ဟန်ချက်ညီစွာ တည်ဆောက်သောသူများ (တစ်နည်း) လောကအလှဆင်သူများ ဖြစ်ခဲ့ကြ၏။",""
17,"သူတို့သည် ညအချိန်၌ (အပြန်အလှန် ဆွေးနွေးတိုင်ပင်လျက် ရှိကြသောကြောင့်) အနည်းငယ်မျှသာ အိပ်စက်လေ့ ရှိကြ၏။",""
18,"ထို့ပြင်မိုးသောက်ချိန်၌ (မိမိတို့ တိုင်ပင်ဆွေးနွေးခဲ့ကြသော အကြောင်းအရာများကို စတင် အကောင် အထည်ဖော်ကြပြီး၊ အပျက်ဆောင်သော ကိစ္စများမှ) အကာအကွယ် ရရှိရန် ကြိုးစားကြ၏။",""
19,"၎င်းပြင် သူတို့၏ ပိုင်ဆိုင်မှုများတွင် အကူအညီတောင်းသူနှင့် လိုအပ်ချက်ကို ဖြည့်ဆည်းနိုင်စွမ်း မရှိ သူတို့အဖို့ 1659 အခွင့်အရေးရှိ (ကြောင်း လက်ခံထားကြ၏)။",""
20,"စင်စစ် သံသယမဲ့ ယုံကြည်သောသူတို့အဖို့ ကမ္ဘာဂြိုဟ်နှင့် မိမိတို့၏ ဖြစ်တည်မှုများ၌ အာယားသ် (သက်သေသာဓကများ) သည် ရှိ၏။ သို့ပါလျက် သင်တို့သည် မသိ မမြင်ကြသလော။ (တစ်နည်း) သိမြင်လာရန် မကြိုးစားကြသလော။ စင်စစ် သင်တို့၏ ရိက္ခာနှင့် သင်တို့ ကတိပေးခြင်း ခံကြရသော အရာသည်လည်း 1660 ကောင်းကင် (ဝါ) မြင့်မားသော (စံအားဖြင့် အတည်ဖြစ်လာ၏)။ 1661","20-22"
23,"သို့ဖြစ်ရာ စကြဝဠာနှင့် ကမ္ဘာဂြိုဟ်တို့ကို ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေသောအရှင့်အား တိုင် တည်ပါ၏။ ဤ (အကျိုးဆက် ဖြစ်ပေါ်မှု) သည် သင်တို့ ပြောဆိုနေကြသည့်ပမာ ပကတိအရှိတရားပင် ဖြစ်၏။ 1662",""
24,"သင့်ထံ အိဗ်ရာဟီမ်၏ ဂုဏ်သရေရှိ ဧည့်သည်များ၏ ဟဒီးစ် (အကြောင်းခြင်းရာ-သတင်းစကားဆင့် ဆိုမှု) သည် ရောက်ရှိလာခဲ့ပြီ မဟုတ်လော။*@*[ဤအာယဟ်နှင့် အလားတူ အာယဟ်ကို [15:51] တွင် တွေ့နိုင်ပါသည်။ ထို့ပြင် [11:69-76] တို့တွင်လည်း ဖော်ပြ ထား၏။ တွဲဖက်လေ့လာပါရန်]",""
25,"သူတို့က “(ကျွန်ုပ်တို့သည် သင်၏) ငြိမ်းချမ်းမှု (ကို လိုလားသူများ ဖြစ်ကြသည်)” ဟု ပြောဆိုလျက် (တစ်နည်း) ချမ်းမြေ့ပါစေဟု ပြောဆိုလျက် သူ့ထံ ဝင်ရောက်လာကြသောအခါ၊ သူကလည်း ငြိမ်းချမ်းမှု သက်ရောက်ပါစေသားဟု တုံ့ပြန်ခဲ့၏။ (သူတို့သည်) မျက်နှာစိမ်းများ ဖြစ်ကြ၏။*@*[15:52] တွင် ထိုလူစုသည် မျက်နှာစိမ်းများ ဖြစ်သောကြောင့် အိဗ်ရာဟီမ် ရစူလ် (A.S) က စိုးရိမ်ကြောင့်ကြကြောင်း ကိုပါ ဖော်ပြထား၏။ စင်စစ် ယင်းမျက်နှာစိမ်း ဧည့်သည်များသည် အလ္လာဟ်စေလွှတ်သော ရစူလ်များ ဖြစ်ကြ၏။ [11:69]",""
26,"သို့ဖြစ်ရာ အိဗ်ရာဟီမ်သည် မိသားစုထံ ဝင်ရောက်၍ (ဧည့်သည်များအဖို့) ဝဖြိုးသော နွားကင်လေး တကောင်ကို ယူလာ၏။*@*[11:69]",""
27,"ထို့နောက် သူတို့ရှေ့သို့ တည်ခင်း (ဧည့်ခံ) ပြီး၊ “သင်တို့ မစားသုံးကြဘူးလား” ဟု မေးမြန်း၏။*@*[11:70]",""
28,"(သူတို့၏ လက်များသည် ထိုစားစရာသို့ မလှမ်းကြသောအခါ) အိဗ်ရာဟီမ်သည် သူတို့နှင့်ပတ်သက်၍ သံသယဖြစ်ကာ စိုးရိမ်ခဲ့၏။ သူတို့က “သင် မစိုးရိမ်ပါနှင့်” ဟု ပြောဆိုကြ၏။* ထို့နောက် သူ့အား အသိပညာနှင့် ပြည့်စုံသော သားအကြောင်းကို သတင်းကောင်း ပါးခဲ့ကြ၏။**@* [11:70] [15:53]#** [11:71] [15:53-55]",""
29,"အိဗ်ရာဟီမ်၏ ဇနီးသည် အသံကျယ်စွာ ညည်းညူရင်း ရှေ့မှောက်သို့ ရောက်လာခဲ့၏။ ထို့နောက် နဖူး ထုရင်း “ကျွန်ုပ် သည် အိုမင်းနေသော အမြုံဖြစ်သည်” ဟု ပြောဆို ၏။*@*[11:72]",""
30,"သူတို့က “သင့်အား ပျိုးထောင်မှုစနစ်အားဖြင့် ဖွံ့ဖြိုးစေ သောအရှင်သည် ဤသို့ပင် မိန့်မြွက်၏။ (တစ်နည်း) ဤအတိုင်းပင် ပြဋ္ဌာန်းထား၏။ ဧကန်စင်စစ် အရှင်သည် သိမှုဥပဒေနှင့်အညီ စီရင်ဆုံးဖြတ်သောအရှင် (တစ်နည်း) အရှင်သည် ဆင်ခြင်ဉာဏ်၏ အခြေအမြစ် ဖြစ်၍၊ သိမှုဥပဒေ အားဖြင့် လွှမ်းခြုံသိရှိသောအရှင် ဖြစ်သည်” ဟု ဆိုကြ၏။",""
31,"သူက “အို-ရစူလ်တို့၊ သင်တို့၌ မည်သို့သော အရေးတကြီး ကိစ္စများ ပါရှိသနည်း” ဟု မေးမြန်းခဲ့၏။*@*[15:57]",""
32,"သူတို့က “ဧကန်စင်စစ် ကျွန်ုပ်တို့သည် ပြစ်မှုကျူးလွန်သူ မျိုးတူစုထံ စေလွှတ်ခံကြရသည်။ ကျွန်ုပ်တို့ သည် သူတို့အပေါ်သို့ ရွှံ့စေးဖြင့် ပြုလုပ်ထားသော ကျောက်ခဲများကို ရွာသွန်းချစေရန် စေလွှတ်ခံကြ ရခြင်း ဖြစ်၏။ (တစ်နည်း) # (အသိပညာရှင်တို့ သည် အသိပညာမဲ့မှုကြောင့်) အရည်အသွေး ကျဆင်းနေသော အခြေအနေကို 1663 အသိပညာ-ဉာဏ်အမြော် အမြင်နှင့် ပြည့်စုံသော (အထောက်အထားများ ဖြင့်) ထုချေရန် စေလွှတ်ခံကြရခြင်း ဖြစ်၏။ (၎င်းသည်) သင့်အား ပျိုးထောင်မှုစနစ် အားဖြင့် ဖွံ့ဖြိုးစေသော အရှင့် ပြဋ္ဌာန်းချက် နှင့်အညီ လျာထားချက် ဖြစ်၏။ စင်စစ် ၎င်းသည် အလွဲသုံးစား ပြုသူတို့အဖို့ ဖြစ်သည်” ဟု ပြောဆိုကြ၏။*@[11:82] အောက်ခြေ (၉၃၆) [15:74]","32-34"
35,"ထို့နောက် ငါသည် မုအ်မင်န် (လုံခြုံမှုကို ယုံကြည်ချက်ဖြင့် တည်ဆောက်သောသူ) တို့အား ထို (ဒေသ) မှ ထွက်ခွာစေခဲ့၏။",""
36,"သို့သော် ငါသည် ထို (ဒေသ) ၌ အိမ်တစ်အိမ်မှအပ မုစ်လင်မ် (ငါ၏ လမ်းညွှန်မှုကို လိုက်နာသော ငြိမ်း ချမ်းရေးဝါဒီ) ၏ အိမ်ဟူ၍ မတွေ့ရှိခဲ့ပေ။ 1664",""
